"ID","data","imiona","zyczenia"
"1","01-01","Mieszka, Mieczysława, Marii",NULL
"2","01-02","Izydora, Bazylego, Grzegorza",NULL
"3","01-03","Arlety, Genowefy, Danuty",NULL
"4","01-04","Tytusa, Anieli, Eugeniusza",NULL
"5","01-05","Hanny, Szymona, Edwarda",NULL
"6","01-06","Kacpra, Melchiora, Baltazara",NULL
"7","01-07","Juliana, Lucjana, Rajmunda",NULL
"8","01-08","Seweryna, Mścisława, Juliusza",NULL
"9","01-09","Marceliny, Marianny, Juliana",NULL
"10","01-10","Wilhelma, Dobrosława, Danuty",NULL
"11","01-11","Honoraty, Teodozjusza, Matyldy",NULL
"12","01-12","Grety, Arkadiusza, Rajmunda",NULL
"13","01-13","Bogumiły, Weroniki, Hilarego",NULL
"14","01-14","Feliksa, Domosława, Niny",NULL
"15","01-15","Pawła, Arnolda, Izydora",NULL
"16","01-16","Marcelego, Włodzimierza, Waldemara",NULL
"17","01-17","Antoniego, Rościsława, Jana",NULL
"18","01-18","Piotra, Małgorzaty",NULL
"19","01-19","Henryka, Mariusza, Marty",NULL
"20","01-20","Fabiana, Sebastiana",NULL
"21","01-21","Agnieszki, Jarosława",NULL
"22","01-22","Anastazego, Wincentego",NULL
"23","01-23","Ildefonsa, Rajmunda",NULL
"24","01-24","Felicji, Franciszka, Rafała",NULL
"25","01-25","Pawła, Miłosza, Elwiry",NULL
"26","01-26","Tymoteusza, Michała, Tytusa",NULL
"27","01-27","Przybysława, Anieli, Jerzego",NULL
"28","01-28","Walerego, Radomira, Tomasza",NULL
"29","01-29","Zdzisława, Franciszka, Józefa",NULL
"30","01-30","Macieja, Martyny, Teofila",NULL
"31","01-31","Marceli, Ludwiki, Jana",NULL
"32","02-01","Brygidy, Ignacego, Seweryna",NULL
"33","02-02","Marii, Miłosława",NULL
"34","02-03","Błażeja, Oskara",NULL
"35","02-04","Andrzeja, Weroniki, Joanny",NULL
"36","02-05","Agaty, Adelajdy",NULL
"37","02-06","Doroty, Bogdana, Pawła",NULL
"38","02-07","Ryszarda, Teodora, Romana",NULL
"39","02-08","Hieronima, Sebastiana, Ireny",NULL
"40","02-09","Apolonii, Eryki, Cyryla",NULL
"41","02-10","Elwiry, Jacka, Scholastyki",NULL
"42","02-11","Lucjana, Olgierda",NULL
"43","02-12","Eulalii, Radosława, Modesta",NULL
"44","02-13","Grzegorza, Katarzyny",NULL
